anho,mes,ipc.dic.2008
1988,05,"5,97258"
1988,06,"6,11575"
1988,07,"6,20435"
1988,08,"6,19338"
1988,09,"6,2372"
1988,10,"6,33479"
1988,11,"6,4226"
1988,12,"6,56561"
1989,01,"6,75162"
1989,02,"6,97606"
1989,03,"7,14929"
1989,04,"7,33039"
1989,05,"7,45882"
1989,06,"7,56154"
1989,07,"7,67871"
1989,08,"7,78474"
1989,09,"7,8933"
1989,10,"8,02"
1989,11,"8,16289"
1989,12,"8,28074"
1990,01,"8,5542"
1990,02,"8,86809"
1990,03,"9,12522"
1990,04,"9,38194"
1990,05,"9,5653"
1990,06,"9,75235"
1990,07,"9,88464"
1990,08,"10,04149"
1990,09,"10,2804"
1990,10,"10,47846"
1990,11,"10,69138"
1990,12,"10,96102"
1991,01,"11,29026"
1991,02,"11,67557"
1991,03,"11,97091"
1991,04,"12,30614"
1991,05,"12,57743"
1991,06,"12,77647"
1991,07,"13,00867"
1991,08,"13,17446"
1991,09,"13,36596"
1991,10,"13,5435"
1991,11,"13,70884"
1991,12,"13,90118"
1992,01,"14,3876"
1992,02,"14,86891"
1992,03,"15,21327"
1992,04,"15,64749"
1992,05,"16,01203"
1992,06,"16,37142"
1992,07,"16,69878"
1992,08,"16,82458"
1992,09,"16,96424"
1992,10,"17,10844"
1992,11,"17,23304"
1992,12,"17,39507"
1993,01,"17,95876"
1993,02,"18,54379"
1993,03,"18,89219"
1993,04,"19,25924"
1993,05,"19,56896"
1993,06,"19,87209"
1993,07,"20,11685"
1993,08,"20,37014"
1993,09,"20,59974"
1993,10,"20,81995"
1993,11,"21,08857"
1993,12,"21,32774"
1994,01,"22,00035"
1994,02,"22,81129"
1994,03,"23,31653"
1994,04,"23,87024"
1994,05,"24,23993"
1994,06,"24,45975"
1994,07,"24,68334"
1994,08,"24,92484"
1994,09,"25,197"
1994,10,"25,47853"
1994,11,"25,76272"
1994,12,"26,14692"
1995,01,"26,63043"
1995,02,"27,56985"
1995,03,"28,29186"
1995,04,"28,92475"
1995,05,"29,40409"
1995,06,"29,75967"
1995,07,"29,99151"
1995,08,"30,18243"
1995,09,"30,43686"
1995,10,"30,70715"
1995,11,"30,95091"
1995,12,"31,23709"
1996,01,"32,02244"
1996,02,"33,30729"
1996,03,"34,00939"
1996,04,"34,68176"
1996,05,"35,22039"
1996,06,"35,62416"
1996,07,"36,16228"
1996,08,"36,5613"
1996,09,"36,99661"
1996,10,"37,42344"
1996,11,"37,72398"
1996,12,"37,99651"
1997,01,"38,62612"
1997,02,"39,83103"
1997,03,"40,45016"
1997,04,"41,10718"
1997,05,"41,77435"
1997,06,"42,27692"
1997,07,"42,6301"
1997,08,"43,1199"
1997,09,"43,66319"
1997,10,"44,08496"
1997,11,"44,44339"
1997,12,"44,71589"
1998,01,"45,51778"
1998,02,"47,01282"
1998,03,"48,23588"
1998,04,"49,63681"
1998,05,"50,41245"
1998,06,"51,02799"
1998,07,"51,27197"
1998,08,"51,28861"
1998,09,"51,43735"
1998,10,"51,62089"
1998,11,"51,71247"
1998,12,"52,18481"
1999,01,"53,33761"
1999,02,"54,24344"
1999,03,"54,75222"
1999,04,"55,18137"
1999,05,"55,44543"
1999,06,"55,60033"
